Territorialidades,IDHM 2000,IDHM 2010,IDHM Renda 2000,IDHM Renda 2010,IDHM Longevidade 2000,IDHM Longevidade 2010,IDHM Educação 2000,IDHM Educação 2010,Subíndice de frequência escolar - IDHM Educação 2000,Subíndice de frequência escolar - IDHM Educação 2010,Subíndice de escolaridade - IDHM Educação 2000,Subíndice de escolaridade - IDHM Educação 2010,Renda per capita 2012,Renda per capita 2013,Renda per capita 2014,Renda per capita 2015,Subíndice de escolaridade - IDHM Educação 2012,Subíndice de escolaridade - IDHM Educação 2013,Subíndice de escolaridade - IDHM Educação 2014,Subíndice de escolaridade - IDHM Educação 2015,Subíndice de frequência escolar - IDHM Educação 2012,Subíndice de frequência escolar - IDHM Educação 2013,Subíndice de frequência escolar - IDHM Educação 2014,Subíndice de frequência escolar - IDHM Educação 2015,IDHM Educação 2012,IDHM Educação 2013,IDHM Educação 2014,IDHM Educação 2015,IDHM Longevidade 2012,IDHM Longevidade 2013,IDHM Longevidade 2014,IDHM Longevidade 2015,IDHM Renda 2012,IDHM Renda 2013,IDHM Renda 2014,IDHM Renda 2015,IDHM 2012,IDHM 2013,IDHM 2014,IDHM 2015,Renda per capita 2000,Renda per capita 2010,Desagregação HOMEM IDHM Censo,Desagregação HOMEM IDHM Censo,Desagregação HOMEM IDHM Renda Censo,Desagregação HOMEM IDHM Renda Censo,Desagregação HOMEM IDHM Longevidade Censo,Desagregação HOMEM IDHM Longevidade Censo,Desagregação HOMEM IDHM Educação Censo,Desagregação HOMEM IDHM Educação Censo,Desagregação HOMEM Subíndice de frequência escolar - IDHM Educação Censo,Desagregação HOMEM Subíndice de frequência escolar - IDHM Educação Censo,Desagregação HOMEM Subíndice de escolaridade - IDHM Educação Censo,Desagregação HOMEM Subíndice de escolaridade - IDHM Educação Censo,Desagregação HOMEM Renda per capita PNAD,Desagregação HOMEM Renda per capita PNAD,Desagregação HOMEM Renda per capita PNAD,Desagregação HOMEM Renda per capita PNAD,Desagregação HOMEM Subíndice de escolaridade - IDHM Educação PNAD,Desagregação HOMEM Subíndice de escolaridade - IDHM Educação PNAD,Desagregação HOMEM Subíndice de escolaridade - IDHM Educação PNAD,Desagregação HOMEM Subíndice de escolaridade - IDHM Educação PNAD,Desagregação HOMEM Subíndice de frequência escolar - IDHM Educação PNAD,Desagregação HOMEM Subíndice de frequência escolar - IDHM Educação PNAD,Desagregação HOMEM Subíndice de frequência escolar - IDHM Educação PNAD,Desagregação HOMEM Subíndice de frequência escolar - IDHM Educação PNAD,Desagregação HOMEM IDHM Educação PNAD,Desagregação HOMEM IDHM Educação PNAD,Desagregação HOMEM IDHM Educação PNAD,Desagregação HOMEM IDHM Educação PNAD,Desagregação HOMEM IDHM Longevidade PNAD,Desagregação HOMEM IDHM Longevidade PNAD,Desagregação HOMEM IDHM Longevidade PNAD,Desagregação HOMEM IDHM Longevidade PNAD,Desagregação HOMEM IDHM Renda PNAD,Desagregação HOMEM IDHM Renda PNAD,Desagregação HOMEM IDHM Renda PNAD,Desagregação HOMEM IDHM Renda PNAD,Desagregação HOMEM IDHM PNAD,Desagregação HOMEM IDHM PNAD,Desagregação HOMEM IDHM PNAD,Desagregação HOMEM IDHM PNAD,Desagregação HOMEM Renda per capita Censo,Desagregação HOMEM Renda per capita Censo,Desagregação MULHER IDHM Censo,Desagregação MULHER IDHM Censo,Desagregação MULHER IDHM Renda Censo,Desagregação MULHER IDHM Renda Censo,Desagregação MULHER IDHM Longevidade Censo,Desagregação MULHER IDHM Longevidade Censo,Desagregação MULHER IDHM Educação Censo,Desagregação MULHER IDHM Educação Censo,Desagregação MULHER Subíndice de frequência escolar - IDHM Educação Censo,Desagregação MULHER Subíndice de frequência escolar - IDHM Educação Censo,Desagregação MULHER Subíndice de escolaridade - IDHM Educação Censo,Desagregação MULHER Subíndice de escolaridade - IDHM Educação Censo,Desagregação MULHER Renda per capita PNAD,Desagregação MULHER Renda per capita PNAD,Desagregação MULHER Renda per capita PNAD,Desagregação MULHER Renda per capita PNAD,Desagregação MULHER Subíndice de escolaridade - IDHM Educação PNAD,Desagregação MULHER Subíndice de escolaridade - IDHM Educação PNAD,Desagregação MULHER Subíndice de escolaridade - IDHM Educação PNAD,Desagregação MULHER Subíndice de escolaridade - IDHM Educação PNAD,Desagregação MULHER Subíndice de frequência escolar - IDHM Educação PNAD,Desagregação MULHER Subíndice de frequência escolar - IDHM Educação PNAD,Desagregação MULHER Subíndice de frequência escolar - IDHM Educação PNAD,Desagregação MULHER Subíndice de frequência escolar - IDHM Educação PNAD,Desagregação MULHER IDHM Educação PNAD,Desagregação MULHER IDHM Educação PNAD,Desagregação MULHER IDHM Educação PNAD,Desagregação MULHER IDHM Educação PNAD,Desagregação MULHER IDHM Longevidade PNAD,Desagregação MULHER IDHM Longevidade PNAD,Desagregação MULHER IDHM Longevidade PNAD,Desagregação MULHER IDHM Longevidade PNAD,Desagregação MULHER IDHM Renda PNAD,Desagregação MULHER IDHM Renda PNAD,Desagregação MULHER IDHM Renda PNAD,Desagregação MULHER IDHM Renda PNAD,Desagregação MULHER IDHM PNAD,Desagregação MULHER IDHM PNAD,Desagregação MULHER IDHM PNAD,Desagregação MULHER IDHM PNAD,Desagregação MULHER Renda per capita Censo,Desagregação MULHER Renda per capita Censo
Mário Campos (MG),0.545,0.699,0.599,0.68,0.737,0.833,0.367,0.604,0.435,0.71,0.261,0.438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332.05,551.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mariópolis (PR),0.646,0.698,0.664,0.717,0.768,0.804,0.529,0.591,0.678,0.712,0.322,0.408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499.48,694.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maripá de Minas (MG),0.567,0.68,0.664,0.668,0.76,0.847,0.362,0.555,0.472,0.703,0.213,0.345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499.84,510.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maripá (PR),0.704,0.758,0.69,0.736,0.822,0.866,0.614,0.684,0.758,0.798,0.402,0.503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,585.53,781.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mari (PB),0.394,0.548,0.498,0.553,0.555,0.692,0.222,0.429,0.298,0.557,0.124,0.255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.75,250.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marituba (PA),0.505,0.676,0.556,0.621,0.679,0.793,0.342,0.628,0.335,0.64,0.356,0.604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.86,382.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marizópolis (PB),0.412,0.608,0.49,0.582,0.642,0.753,0.223,0.512,0.276,0.631,0.145,0.338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.92,299.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marliéria (MG),0.554,0.657,0.595,0.629,0.75,0.838,0.381,0.537,0.465,0.655,0.255,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325.29,401.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marmeleiro (PR),0.594,0.722,0.624,0.73,0.741,0.842,0.453,0.613,0.559,0.741,0.297,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388.34,751.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marmelópolis (MG),0.523,0.65,0.574,0.615,0.746,0.806,0.334,0.553,0.468,0.707,0.17,0.338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284.93,367.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marques de Souza (RS),0.627,0.687,0.68,0.743,0.841,0.849,0.431,0.515,0.634,0.658,0.199,0.315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,549.7,817.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marquinho (PR),0.433,0.614,0.53,0.615,0.724,0.814,0.211,0.463,0.269,0.633,0.13,0.247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.85,366.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martinho Campos (MG),0.585,0.669,0.648,0.688,0.749,0.844,0.412,0.515,0.535,0.619,0.245,0.356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450.04,579.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martinópole (CE),0.407,0.599,0.424,0.541,0.621,0.76,0.256,0.522,0.344,0.643,0.141,0.344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.14,232.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martinópolis (SP),0.645,0.721,0.651,0.703,0.771,0.832,0.535,0.641,0.653,0.743,0.36,0.478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,458.48,636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martins (RN),0.516,0.622,0.512,0.58,0.698,0.772,0.385,0.538,0.492,0.646,0.235,0.373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.98,295.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martins Soares (MG),0.539,0.635,0.607,0.619,0.745,0.809,0.347,0.512,0.453,0.652,0.203,0.315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350.28,376.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maruim (SE),0.469,0.618,0.507,0.59,0.659,0.781,0.309,0.511,0.362,0.556,0.225,0.431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.52,314.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marumbi (PR),0.604,0.721,0.61,0.705,0.732,0.826,0.494,0.643,0.607,0.753,0.327,0.468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356.39,642.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar Vermelho (AL),0.412,0.577,0.448,0.54,0.677,0.766,0.23,0.465,0.298,0.613,0.137,0.268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.31,229.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marzagão (GO),0.614,0.699,0.638,0.692,0.78,0.822,0.465,0.601,0.539,0.709,0.346,0.431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,422.87,594.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mascote (BA),0.356,0.581,0.464,0.567,0.61,0.744,0.159,0.464,0.188,0.575,0.114,0.303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.91,272.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Massapê (CE),0.423,0.616,0.456,0.541,0.682,0.778,0.243,0.554,0.304,0.672,0.155,0.377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.36,231.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Massapê do Piauí (PI),0.31,0.525,0.438,0.514,0.587,0.73,0.116,0.386,0.174,0.531,0.052,0.204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.94,195.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Massaranduba (PB),0.408,0.567,0.477,0.552,0.632,0.747,0.226,0.441,0.326,0.624,0.108,0.221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.26,247.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Massaranduba (SC),0.703,0.774,0.707,0.749,0.853,0.867,0.576,0.714,0.754,0.84,0.336,0.515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,649.67,847.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mata de São João (BA),0.506,0.668,0.56,0.648,0.686,0.818,0.338,0.562,0.356,0.59,0.306,0.509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261.1,451.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mata Grande (AL),0.356,0.504,0.438,0.506,0.654,0.685,0.157,0.369,0.183,0.499,0.116,0.202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.38,186.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matão (SP),0.687,0.773,0.701,0.766,0.798,0.847,0.58,0.713,0.683,0.798,0.419,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,627.64,940.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mataraca (PB),0.385,0.536,0.471,0.533,0.555,0.675,0.218,0.427,0.275,0.527,0.137,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.36,219.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mata Roma (MA),0.39,0.57,0.414,0.483,0.639,0.776,0.224,0.494,0.268,0.575,0.156,0.365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.16,161.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mata (RS),0.551,0.656,0.6,0.66,0.751,0.807,0.371,0.529,0.489,0.671,0.214,0.329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335.21,484.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mata Verde (MG),0.44,0.581,0.536,0.581,0.653,0.749,0.244,0.45,0.323,0.564,0.139,0.286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.51,298.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mateiros (TO),0.281,0.607,0.404,0.586,0.725,0.823,0.076,0.463,0.104,0.535,0.041,0.346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.94,307.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matelândia (PR),0.646,0.725,0.654,0.715,0.748,0.831,0.551,0.642,0.674,0.737,0.368,0.487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,467.2,683.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Materlândia (MG),0.461,0.597,0.489,0.557,0.696,0.769,0.287,0.497,0.368,0.666,0.174,0.277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.97,255.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mateus Leme (MG),0.605,0.704,0.641,0.688,0.757,0.839,0.456,0.604,0.53,0.678,0.338,0.479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,431,579.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mathias Lobato (MG),0.52,0.612,0.549,0.596,0.74,0.795,0.346,0.483,0.418,0.605,0.237,0.308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.21,326.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matias Barbosa (MG),0.628,0.72,0.647,0.703,0.805,0.862,0.476,0.616,0.573,0.703,0.328,0.473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448.92,633.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matias Cardoso (MG),0.429,0.616,0.445,0.584,0.715,0.799,0.249,0.501,0.307,0.613,0.163,0.335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.67,303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matias Olímpio (PI),0.376,0.562,0.434,0.521,0.651,0.779,0.188,0.438,0.226,0.556,0.131,0.272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.77,204.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matina (BA),0.383,0.572,0.386,0.538,0.685,0.74,0.212,0.469,0.295,0.626,0.11,0.264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.51,227.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matinha (MA),0.443,0.619,0.425,0.579,0.617,0.731,0.331,0.56,0.399,0.651,0.227,0.415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.95,294.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matinhas (PB),0.397,0.541,0.457,0.531,0.606,0.747,0.226,0.4,0.339,0.583,0.1,0.188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.42,217.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matinhos (PR),0.635,0.743,0.685,0.743,0.796,0.834,0.469,0.662,0.509,0.722,0.397,0.556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,567.59,814.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matipó (MG),0.503,0.631,0.601,0.63,0.709,0.78,0.298,0.511,0.382,0.659,0.182,0.308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337.41,403.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mato Castelhano (RS),0.665,0.727,0.655,0.752,0.776,0.839,0.579,0.608,0.734,0.737,0.361,0.413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,472.19,862.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matões do Norte (MA),0.342,0.533,0.371,0.452,0.631,0.768,0.171,0.436,0.234,0.54,0.092,0.284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.5,133.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matões (MA),0.33,0.55,0.427,0.519,0.636,0.739,0.132,0.434,0.166,0.572,0.083,0.249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.76,202.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mato Grosso (PB),0.364,0.565,0.47,0.566,0.637,0.76,0.161,0.419,0.226,0.578,0.081,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.13,271.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mato Leitão (RS),0.623,0.746,0.638,0.721,0.77,0.853,0.493,0.676,0.63,0.823,0.301,0.456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,422.72,708.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mato Queimado (RS),0.617,0.717,0.604,0.702,0.853,0.87,0.457,0.603,0.597,0.782,0.268,0.358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342.88,629.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mato Rico (PR),0.483,0.632,0.523,0.58,0.731,0.812,0.294,0.536,0.374,0.7,0.182,0.314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.18,296.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matos Costa (SC),0.512,0.657,0.601,0.63,0.777,0.831,0.288,0.541,0.34,0.702,0.207,0.321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337.46,402.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mato Verde (MG),0.505,0.662,0.531,0.604,0.717,0.789,0.339,0.61,0.444,0.785,0.198,0.369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.64,343.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matozinhos (MG),0.647,0.731,0.653,0.69,0.776,0.864,0.535,0.654,0.611,0.716,0.41,0.545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,464.35,584.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matrinchã (GO),0.515,0.679,0.582,0.651,0.763,0.84,0.307,0.572,0.372,0.693,0.209,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299.66,458.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matriz de Camaragibe (AL),0.394,0.584,0.45,0.541,0.634,0.777,0.215,0.473,0.251,0.58,0.158,0.314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.88,231.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matupá (MT),0.564,0.716,0.665,0.706,0.714,0.824,0.378,0.631,0.461,0.737,0.255,0.462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.02,649.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maturéia (PB),0.341,0.572,0.425,0.54,0.606,0.73,0.154,0.474,0.212,0.611,0.081,0.286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.72,230.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matutina (MG),0.585,0.707,0.655,0.744,0.799,0.859,0.382,0.552,0.521,0.71,0.205,0.334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,469.88,820.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauá da Serra (PR),0.526,0.652,0.609,0.661,0.738,0.793,0.324,0.529,0.39,0.622,0.223,0.382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353.45,487.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauá (SP),0.664,0.766,0.682,0.721,0.775,0.852,0.555,0.733,0.619,0.784,0.445,0.641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,557.39,709.25,,0.75,,0.724,,0.79,,0.741,,0.797,,0.641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,722.04,,0.79,,0.718,,0.914,,0.75,,0.819,,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,697.08
